dataset,feature_strategy,model,fold,accuracy,precision,recall,f1,roc_auc
A_Full_ALSvsHC,Full_214_LASSO,QSVM,1,0.6129032258064516,0.4444444444444444,0.36363636363636365,0.4,0.5818181818181818
A_Full_ALSvsHC,Full_214_LASSO,QSVM,2,0.5806451612903226,0.2857142857142857,0.2,0.23529411764705882,0.4190476190476191
A_Full_ALSvsHC,Full_214_LASSO,QSVM,3,0.7096774193548387,0.6,0.3,0.4,0.5333333333333333
A_Full_ALSvsHC,Full_214_LASSO,QSVM,4,0.6333333333333333,0.4,0.2,0.26666666666666666,0.67
A_Full_ALSvsHC,Full_214_LASSO,QSVM,5,0.7333333333333333,0.6666666666666666,0.4,0.5,0.71
A_Full_ALSvsHC,Full_214_LASSO,QSVM,6,0.5806451612903226,0.25,0.09090909090909091,0.13333333333333333,0.48636363636363633
A_Full_ALSvsHC,Full_214_LASSO,QSVM,7,0.5161290322580645,0.14285714285714285,0.1,0.11764705882352941,0.1952380952380953
A_Full_ALSvsHC,Full_214_LASSO,QSVM,8,0.6129032258064516,0.3333333333333333,0.2,0.25,0.6285714285714286
A_Full_ALSvsHC,Full_214_LASSO,QSVM,9,0.5666666666666667,0.2857142857142857,0.2,0.23529411764705882,0.49
A_Full_ALSvsHC,Full_214_LASSO,QSVM,10,0.6333333333333333,0.42857142857142855,0.3,0.35294117647058826,0.45999999999999996
A_Full_ALSvsHC,Full_214_LASSO,QSVM,11,0.5161290322580645,0.25,0.18181818181818182,0.21052631578947367,0.48636363636363633
A_Full_ALSvsHC,Full_214_LASSO,QSVM,12,0.6451612903225806,0.42857142857142855,0.3,0.35294117647058826,0.5285714285714286
A_Full_ALSvsHC,Full_214_LASSO,QSVM,13,0.6129032258064516,0.0,0.0,0.0,0.5095238095238095
A_Full_ALSvsHC,Full_214_LASSO,QSVM,14,0.7666666666666667,0.8,0.4,0.5333333333333333,0.63
A_Full_ALSvsHC,Full_214_LASSO,QSVM,15,0.6666666666666666,0.5,0.2,0.2857142857142857,0.49
A_Full_ALSvsHC,Full_214_LASSO,VQC,1,0.5806451612903226,0.4375,0.6363636363636364,0.5185185185185185,0.6727272727272727
