fold,arm,accuracy,precision,recall,f1,roc_auc,dataset,feature_strategy,n_quantum_features_kept
10,hybrid,0.6333333333333333,0.4,0.2,0.26666666666666666,0.4625,A_Full_ALSvsHC,Full_214_LASSO,8.0
11,classical_only,0.5806451612903226,0.25,0.09090909090909091,0.13333333333333333,0.5522727272727272,A_Full_ALSvsHC,Full_214_LASSO,
11,quantum_only,0.6774193548387096,0.6666666666666666,0.18181818181818182,0.2857142857142857,0.5409090909090909,A_Full_ALSvsHC,Full_214_LASSO,
11,ensemble_avg,0.6451612903225806,0.0,0.0,0.0,0.5772727272727272,A_Full_ALSvsHC,Full_214_LASSO,
11,hybrid,0.6774193548387096,1.0,0.09090909090909091,0.16666666666666666,0.5113636363636364,A_Full_ALSvsHC,Full_214_LASSO,8.0
12,classical_only,0.6451612903225806,0.3333333333333333,0.1,0.15384615384615385,0.40714285714285714,A_Full_ALSvsHC,Full_214_LASSO,
12,quantum_only,0.6774193548387096,0.5,0.2,0.2857142857142857,0.39047619047619053,A_Full_ALSvsHC,Full_214_LASSO,
12,ensemble_avg,0.6774193548387096,0.0,0.0,0.0,0.38095238095238093,A_Full_ALSvsHC,Full_214_LASSO,
12,hybrid,0.5806451612903226,0.0,0.0,0.0,0.35476190476190483,A_Full_ALSvsHC,Full_214_LASSO,8.0
13,classical_only,0.6774193548387096,0.5,0.1,0.16666666666666666,0.6380952380952382,A_Full_ALSvsHC,Full_214_LASSO,
13,quantum_only,0.6129032258064516,0.25,0.1,0.14285714285714285,0.7,A_Full_ALSvsHC,Full_214_LASSO,
13,ensemble_avg,0.7096774193548387,1.0,0.1,0.18181818181818182,0.661904761904762,A_Full_ALSvsHC,Full_214_LASSO,
13,hybrid,0.6774193548387096,0.5,0.1,0.16666666666666666,0.5619047619047619,A_Full_ALSvsHC,Full_214_LASSO,8.0
14,classical_only,0.5666666666666667,0.0,0.0,0.0,0.535,A_Full_ALSvsHC,Full_214_LASSO,
14,quantum_only,0.5333333333333333,0.16666666666666666,0.1,0.125,0.385,A_Full_ALSvsHC,Full_214_LASSO,
14,ensemble_avg,0.5666666666666667,0.0,0.0,0.0,0.48500000000000004,A_Full_ALSvsHC,Full_214_LASSO,
14,hybrid,0.5333333333333333,0.0,0.0,0.0,0.3925,A_Full_ALSvsHC,Full_214_LASSO,8.0
15,classical_only,0.6333333333333333,0.4,0.2,0.26666666666666666,0.55,A_Full_ALSvsHC,Full_214_LASSO,
15,quantum_only,0.6666666666666666,0.5,0.1,0.16666666666666666,0.47500000000000003,A_Full_ALSvsHC,Full_214_LASSO,
15,ensemble_avg,0.6333333333333333,0.3333333333333333,0.1,0.15384615384615385,0.53,A_Full_ALSvsHC,Full_214_LASSO,
15,hybrid,0.6333333333333333,0.0,0.0,0.0,0.48000000000000004,A_Full_ALSvsHC,Full_214_LASSO,8.0
1,classical_only,0.6451612903225806,0.5,0.2727272727272727,0.35294117647058826,0.5,A_Full_ALSvsHC,Curated_Pool_LASSO,
1,quantum_only,0.6774193548387096,1.0,0.09090909090909091,0.16666666666666666,0.4772727272727273,A_Full_ALSvsHC,Curated_Pool_LASSO,
1,ensemble_avg,0.6774193548387096,1.0,0.09090909090909091,0.16666666666666666,0.5363636363636364,A_Full_ALSvsHC,Curated_Pool_LASSO,
1,hybrid,0.6451612903225806,0.5,0.18181818181818182,0.26666666666666666,0.45681818181818185,A_Full_ALSvsHC,Curated_Pool_LASSO,8.0
2,classical_only,0.6774193548387096,0.5,0.2,0.2857142857142857,0.5285714285714286,A_Full_ALSvsHC,Curated_Pool_LASSO,
2,quantum_only,0.6451612903225806,0.3333333333333333,0.1,0.15384615384615385,0.41428571428571426,A_Full_ALSvsHC,Curated_Pool_LASSO,
2,ensemble_avg,0.6451612903225806,0.0,0.0,0.0,0.5047619047619047,A_Full_ALSvsHC,Curated_Pool_LASSO,
2,hybrid,0.7419354838709677,1.0,0.2,0.3333333333333333,0.5642857142857143,A_Full_ALSvsHC,Curated_Pool_LASSO,8.0
3,classical_only,0.7096774193548387,0.6,0.3,0.4,0.7619047619047619,A_Full_ALSvsHC,Curated_Pool_LASSO,
3,quantum_only,0.5483870967741935,0.25,0.2,0.2222222222222222,0.47619047619047616,A_Full_ALSvsHC,Curated_Pool_LASSO,
3,ensemble_avg,0.6774193548387096,0.5,0.2,0.2857142857142857,0.680952380952381,A_Full_ALSvsHC,Curated_Pool_LASSO,
3,hybrid,0.6451612903225806,0.4,0.2,0.26666666666666666,0.5714285714285714,A_Full_ALSvsHC,Curated_Pool_LASSO,8.0
4,classical_only,0.6333333333333333,0.3333333333333333,0.1,0.15384615384615385,0.785,A_Full_ALSvsHC,Curated_Pool_LASSO,
4,quantum_only,0.6,0.0,0.0,0.0,0.5800000000000001,A_Full_ALSvsHC,Curated_Pool_LASSO,
4,ensemble_avg,0.6666666666666666,0.5,0.1,0.16666666666666666,0.7000000000000001,A_Full_ALSvsHC,Curated_Pool_LASSO,
4,hybrid,0.7,0.6666666666666666,0.2,0.3076923076923077,0.7250000000000001,A_Full_ALSvsHC,Curated_Pool_LASSO,8.0
5,classical_only,0.7666666666666667,0.7142857142857143,0.5,0.5882352941176471,0.785,A_Full_ALSvsHC,Curated_Pool_LASSO,
5,quantum_only,0.6333333333333333,0.0,0.0,0.0,0.505,A_Full_ALSvsHC,Curated_Pool_LASSO,
5,ensemble_avg,0.7333333333333333,1.0,0.2,0.3333333333333333,0.765,A_Full_ALSvsHC,Curated_Pool_LASSO,
5,hybrid,0.7666666666666667,0.7142857142857143,0.5,0.5882352941176471,0.75,A_Full_ALSvsHC,Curated_Pool_LASSO,5.0
6,classical_only,0.5161290322580645,0.0,0.0,0.0,0.5454545454545454,A_Full_ALSvsHC,Curated_Pool_LASSO,
6,quantum_only,0.5161290322580645,0.3,0.2727272727272727,0.2857142857142857,0.47272727272727266,A_Full_ALSvsHC,Curated_Pool_LASSO,
6,ensemble_avg,0.5483870967741935,0.0,0.0,0.0,0.4772727272727273,A_Full_ALSvsHC,Curated_Pool_LASSO,
6,hybrid,0.6129032258064516,0.0,0.0,0.0,0.46590909090909083,A_Full_ALSvsHC,Curated_Pool_LASSO,8.0
7,classical_only,0.6774193548387096,0.5,0.4,0.4444444444444444,0.6761904761904762,A_Full_ALSvsHC,Curated_Pool_LASSO,
7,quantum_only,0.5161290322580645,0.14285714285714285,0.1,0.11764705882352941,0.4,A_Full_ALSvsHC,Curated_Pool_LASSO,
7,ensemble_avg,0.6774193548387096,0.5,0.1,0.16666666666666666,0.5714285714285714,A_Full_ALSvsHC,Curated_Pool_LASSO,
7,hybrid,0.6129032258064516,0.3333333333333333,0.2,0.25,0.42619047619047623,A_Full_ALSvsHC,Curated_Pool_LASSO,8.0
8,classical_only,0.6774193548387096,0.0,0.0,0.0,0.6714285714285715,A_Full_ALSvsHC,Curated_Pool_LASSO,
8,quantum_only,0.7096774193548387,1.0,0.1,0.18181818181818182,0.6476190476190476,A_Full_ALSvsHC,Curated_Pool_LASSO,
8,ensemble_avg,0.6774193548387096,0.0,0.0,0.0,0.7333333333333334,A_Full_ALSvsHC,Curated_Pool_LASSO,
8,hybrid,0.6774193548387096,0.0,0.0,0.0,0.5738095238095238,A_Full_ALSvsHC,Curated_Pool_LASSO,8.0
9,classical_only,0.6666666666666666,0.5,0.3,0.375,0.7050000000000001,A_Full_ALSvsHC,Curated_Pool_LASSO,
9,quantum_only,0.6333333333333333,0.0,0.0,0.0,0.35,A_Full_ALSvsHC,Curated_Pool_LASSO,
9,ensemble_avg,0.6333333333333333,0.0,0.0,0.0,0.6400000000000001,A_Full_ALSvsHC,Curated_Pool_LASSO,
9,hybrid,0.6666666666666666,0.5,0.3,0.375,0.71,A_Full_ALSvsHC,Curated_Pool_LASSO,7.0
10,classical_only,0.7666666666666667,1.0,0.3,0.46153846153846156,0.6575,A_Full_ALSvsHC,Curated_Pool_LASSO,
10,quantum_only,0.6666666666666666,0.5,0.2,0.2857142857142857,0.49,A_Full_ALSvsHC,Curated_Pool_LASSO,
10,ensemble_avg,0.6333333333333333,0.0,0.0,0.0,0.6349999999999999,A_Full_ALSvsHC,Curated_Pool_LASSO,
10,hybrid,0.7,1.0,0.1,0.18181818181818182,0.66,A_Full_ALSvsHC,Curated_Pool_LASSO,8.0
11,classical_only,0.7096774193548387,0.6666666666666666,0.36363636363636365,0.47058823529411764,0.6590909090909091,A_Full_ALSvsHC,Curated_Pool_LASSO,
11,quantum_only,0.6129032258064516,0.3333333333333333,0.09090909090909091,0.14285714285714285,0.35,A_Full_ALSvsHC,Curated_Pool_LASSO,
11,ensemble_avg,0.6774193548387096,1.0,0.09090909090909091,0.16666666666666666,0.6000000000000001,A_Full_ALSvsHC,Curated_Pool_LASSO,
11,hybrid,0.6129032258064516,0.42857142857142855,0.2727272727272727,0.3333333333333333,0.6090909090909091,A_Full_ALSvsHC,Curated_Pool_LASSO,8.0
12,classical_only,0.5806451612903226,0.0,0.0,0.0,0.5857142857142857,A_Full_ALSvsHC,Curated_Pool_LASSO,
12,quantum_only,0.6774193548387096,0.0,0.0,0.0,0.45714285714285713,A_Full_ALSvsHC,Curated_Pool_LASSO,
12,ensemble_avg,0.6774193548387096,0.0,0.0,0.0,0.5380952380952382,A_Full_ALSvsHC,Curated_Pool_LASSO,
12,hybrid,0.5806451612903226,0.0,0.0,0.0,0.5142857142857142,A_Full_ALSvsHC,Curated_Pool_LASSO,8.0
13,classical_only,0.6451612903225806,0.42857142857142855,0.3,0.35294117647058826,0.7047619047619047,A_Full_ALSvsHC,Curated_Pool_LASSO,
13,quantum_only,0.6451612903225806,0.4,0.2,0.26666666666666666,0.49999999999999994,A_Full_ALSvsHC,Curated_Pool_LASSO,
13,ensemble_avg,0.7096774193548387,1.0,0.1,0.18181818181818182,0.6761904761904762,A_Full_ALSvsHC,Curated_Pool_LASSO,
13,hybrid,0.7096774193548387,0.6,0.3,0.4,0.7595238095238095,A_Full_ALSvsHC,Curated_Pool_LASSO,8.0
14,classical_only,0.6,0.0,0.0,0.0,0.5900000000000001,A_Full_ALSvsHC,Curated_Pool_LASSO,
14,quantum_only,0.5666666666666667,0.2,0.1,0.13333333333333333,0.41000000000000003,A_Full_ALSvsHC,Curated_Pool_LASSO,
14,ensemble_avg,0.6,0.0,0.0,0.0,0.525,A_Full_ALSvsHC,Curated_Pool_LASSO,
14,hybrid,0.5666666666666667,0.0,0.0,0.0,0.47250000000000003,A_Full_ALSvsHC,Curated_Pool_LASSO,8.0
15,classical_only,0.6666666666666666,0.0,0.0,0.0,0.6525,A_Full_ALSvsHC,Curated_Pool_LASSO,
15,quantum_only,0.5333333333333333,0.16666666666666666,0.1,0.125,0.31,A_Full_ALSvsHC,Curated_Pool_LASSO,
15,ensemble_avg,0.6333333333333333,0.0,0.0,0.0,0.48,A_Full_ALSvsHC,Curated_Pool_LASSO,
15,hybrid,0.7,1.0,0.1,0.18181818181818182,0.6075,A_Full_ALSvsHC,Curated_Pool_LASSO,8.0
1,classical_only,0.8571428571428571,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9696969696969697,B_StrictDysarthricALSvsHC,Full_214_LASSO,
1,quantum_only,0.5714285714285714,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.33333333333333337,B_StrictDysarthricALSvsHC,Full_214_LASSO,
1,ensemble_avg,0.9285714285714286,0.9166666666666666,1.0,0.9565217391304348,0.9393939393939394,B_StrictDysarthricALSvsHC,Full_214_LASSO,
1,hybrid,0.8571428571428571,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9393939393939394,B_StrictDysarthricALSvsHC,Full_214_LASSO,8.0
2,classical_only,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.775,B_StrictDysarthricALSvsHC,Full_214_LASSO,
2,quantum_only,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.7,B_StrictDysarthricALSvsHC,Full_214_LASSO,
2,ensemble_avg,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.75,B_StrictDysarthricALSvsHC,Full_214_LASSO,
2,hybrid,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.8,B_StrictDysarthricALSvsHC,Full_214_LASSO,7.0
3,classical_only,0.9285714285714286,0.9090909090909091,1.0,0.9523809523809523,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,
3,quantum_only,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.75,B_StrictDysarthricALSvsHC,Full_214_LASSO,
3,ensemble_avg,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,
3,hybrid,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,8.0
4,classical_only,1.0,1.0,1.0,1.0,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,
4,quantum_only,0.7857142857142857,0.7692307692307693,1.0,0.8695652173913043,0.525,B_StrictDysarthricALSvsHC,Full_214_LASSO,
4,ensemble_avg,0.7857142857142857,0.8181818181818182,0.9,0.8571428571428571,0.95,B_StrictDysarthricALSvsHC,Full_214_LASSO,
4,hybrid,0.9285714285714286,1.0,0.9,0.9473684210526315,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,8.0
5,classical_only,0.9230769230769231,0.9090909090909091,1.0,0.9523809523809523,0.9,B_StrictDysarthricALSvsHC,Full_214_LASSO,
5,quantum_only,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.5,B_StrictDysarthricALSvsHC,Full_214_LASSO,
5,ensemble_avg,0.9230769230769231,0.9090909090909091,1.0,0.9523809523809523,0.8666666666666667,B_StrictDysarthricALSvsHC,Full_214_LASSO,
5,hybrid,0.9230769230769231,0.9090909090909091,1.0,0.9523809523809523,0.8666666666666667,B_StrictDysarthricALSvsHC,Full_214_LASSO,8.0
6,classical_only,1.0,1.0,1.0,1.0,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,
6,quantum_only,0.7142857142857143,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.6060606060606062,B_StrictDysarthricALSvsHC,Full_214_LASSO,
6,ensemble_avg,0.8571428571428571,0.8461538461538461,1.0,0.9166666666666666,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,
6,hybrid,0.9285714285714286,1.0,0.9090909090909091,0.9523809523809523,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,8.0
7,classical_only,0.7142857142857143,0.8,0.8,0.8,0.825,B_StrictDysarthricALSvsHC,Full_214_LASSO,
7,quantum_only,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.55,B_StrictDysarthricALSvsHC,Full_214_LASSO,
7,ensemble_avg,0.7857142857142857,0.7692307692307693,1.0,0.8695652173913043,0.8,B_StrictDysarthricALSvsHC,Full_214_LASSO,
7,hybrid,0.7142857142857143,0.8,0.8,0.8,0.85,B_StrictDysarthricALSvsHC,Full_214_LASSO,8.0
8,classical_only,0.9285714285714286,0.9090909090909091,1.0,0.9523809523809523,0.825,B_StrictDysarthricALSvsHC,Full_214_LASSO,
8,quantum_only,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.625,B_StrictDysarthricALSvsHC,Full_214_LASSO,
8,ensemble_avg,0.9285714285714286,0.9090909090909091,1.0,0.9523809523809523,0.8,B_StrictDysarthricALSvsHC,Full_214_LASSO,
8,hybrid,0.9285714285714286,0.9090909090909091,1.0,0.9523809523809523,0.775,B_StrictDysarthricALSvsHC,Full_214_LASSO,8.0
9,classical_only,0.8571428571428571,0.9,0.9,0.9,0.95,B_StrictDysarthricALSvsHC,Full_214_LASSO,
9,quantum_only,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.525,B_StrictDysarthricALSvsHC,Full_214_LASSO,
9,ensemble_avg,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.975,B_StrictDysarthricALSvsHC,Full_214_LASSO,
9,hybrid,0.8571428571428571,0.9,0.9,0.9,0.95,B_StrictDysarthricALSvsHC,Full_214_LASSO,8.0
10,classical_only,0.9230769230769231,0.9090909090909091,1.0,0.9523809523809523,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,
10,quantum_only,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.6666666666666667,B_StrictDysarthricALSvsHC,Full_214_LASSO,
10,ensemble_avg,0.9230769230769231,0.9090909090909091,1.0,0.9523809523809523,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,
10,hybrid,0.9230769230769231,0.9090909090909091,1.0,0.9523809523809523,0.9666666666666668,B_StrictDysarthricALSvsHC,Full_214_LASSO,8.0
11,classical_only,0.9285714285714286,0.9166666666666666,1.0,0.9565217391304348,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,
11,quantum_only,0.7857142857142857,0.7857142857142857,1.0,0.88,0.5454545454545454,B_StrictDysarthricALSvsHC,Full_214_LASSO,
11,ensemble_avg,0.9285714285714286,0.9166666666666666,1.0,0.9565217391304348,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,
11,hybrid,0.9285714285714286,0.9166666666666666,1.0,0.9565217391304348,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,8.0
12,classical_only,0.7857142857142857,0.7692307692307693,1.0,0.8695652173913043,0.8,B_StrictDysarthricALSvsHC,Full_214_LASSO,
12,quantum_only,0.6428571428571429,0.6923076923076923,0.9,0.782608695652174,0.5,B_StrictDysarthricALSvsHC,Full_214_LASSO,
12,ensemble_avg,0.7857142857142857,0.7692307692307693,1.0,0.8695652173913043,0.75,B_StrictDysarthricALSvsHC,Full_214_LASSO,
12,hybrid,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.8,B_StrictDysarthricALSvsHC,Full_214_LASSO,8.0
13,classical_only,1.0,1.0,1.0,1.0,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,
13,quantum_only,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.575,B_StrictDysarthricALSvsHC,Full_214_LASSO,
13,ensemble_avg,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,
13,hybrid,1.0,1.0,1.0,1.0,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,8.0
14,classical_only,0.7857142857142857,0.7692307692307693,1.0,0.8695652173913043,0.95,B_StrictDysarthricALSvsHC,Full_214_LASSO,
14,quantum_only,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.75,B_StrictDysarthricALSvsHC,Full_214_LASSO,
14,ensemble_avg,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.975,B_StrictDysarthricALSvsHC,Full_214_LASSO,
14,hybrid,0.7857142857142857,0.7692307692307693,1.0,0.8695652173913043,0.95,B_StrictDysarthricALSvsHC,Full_214_LASSO,8.0
15,classical_only,1.0,1.0,1.0,1.0,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,
15,quantum_only,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.16666666666666669,B_StrictDysarthricALSvsHC,Full_214_LASSO,
15,ensemble_avg,0.8461538461538461,0.8333333333333334,1.0,0.9090909090909091,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,
15,hybrid,1.0,1.0,1.0,1.0,1.0,B_StrictDysarthricALSvsHC,Full_214_LASSO,8.0
1,classical_only,0.9285714285714286,1.0,0.9090909090909091,0.9523809523809523,0.9090909090909091,B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,
1,quantum_only,0.7857142857142857,0.7857142857142857,1.0,0.88,0.6060606060606061,B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,
1,ensemble_avg,0.8571428571428571,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9393939393939393,B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,
1,hybrid,0.9285714285714286,1.0,0.9090909090909091,0.9523809523809523,0.9090909090909091,B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,8.0
2,classical_only,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.775,B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,
2,quantum_only,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.025,B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,
2,ensemble_avg,0.7857142857142857,0.7692307692307693,1.0,0.8695652173913043,0.725,B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,
2,hybrid,0.7142857142857143,0.75,0.9,0.8181818181818182,0.775,B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,8.0
3,classical_only,0.9285714285714286,0.9090909090909091,1.0,0.9523809523809523,1.0,B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,
3,quantum_only,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.4,B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,
3,ensemble_avg,0.7857142857142857,0.7692307692307693,1.0,0.8695652173913043,1.0,B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,
3,hybrid,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,1.0,B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,8.0
