dataset,feature_strategy,arm,n_folds,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,recall_mean,roc_auc_mean
A_Full_ALSvsHC,Curated_Pool_LASSO,classical_only,15,0.6625806451612903,0.065649542358188,0.2590166151930858,0.21158243920849756,0.38285714285714284,0.20242424242424242,0.6538744588744588
A_Full_ALSvsHC,Curated_Pool_LASSO,hybrid,15,0.6625806451612903,0.05837686936759873,0.2323042643630879,0.17421280003886552,0.47619047619047616,0.17030303030303032,0.5910894660894661
A_Full_ALSvsHC,Curated_Pool_LASSO,quantum_only,15,0.6121146953405018,0.0626871664131235,0.13876573317749788,0.10249607737519494,0.30841269841269836,0.10363636363636365,0.456015873015873
A_Full_ALSvsHC,Curated_Pool_LASSO,ensemble_avg,15,0.6578494623655914,0.04476307500681639,0.09783549783549783,0.11751472764002226,0.36666666666666664,0.05878787878787879,0.6042265512265512
A_Full_ALSvsHC,Full_214_LASSO,classical_only,15,0.6274551971326165,0.060439381714871905,0.19805250305250305,0.1431880252919016,0.33388888888888885,0.14545454545454545,0.5230598845598845
A_Full_ALSvsHC,Full_214_LASSO,hybrid,15,0.6340501792114694,0.05193299785526557,0.1744993894993895,0.1282674535780545,0.3655555555555556,0.12424242424242425,0.49704473304473307
A_Full_ALSvsHC,Full_214_LASSO,quantum_only,15,0.6336200716845878,0.04650631604791287,0.14056776556776557,0.08643145394582351,0.33888888888888885,0.09090909090909091,0.5197994227994228
A_Full_ALSvsHC,Full_214_LASSO,ensemble_avg,15,0.6534767025089605,0.04156452306674124,0.07634587634587635,0.10568515495821912,0.24444444444444444,0.04606060606060606,0.5293477633477633
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,classical_only,15,0.8945054945054945,0.06501849927377142,0.9312675628465102,0.04258132840941085,0.901010101010101,0.9678787878787879,0.9207323232323232
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,hybrid,15,0.8754578754578755,0.08259182697237287,0.9197110034638638,0.05270211656367719,0.8853535353535354,0.9612121212121212,0.9106565656565657
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,ensemble_avg,15,0.8263736263736264,0.06503839579056508,0.8935772633163938,0.037921962196302,0.8239471639471639,0.9806060606060606,0.9213636363636364
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,quantum_only,15,0.7395604395604395,0.032492662437664674,0.8492173913043479,0.020392582301132247,0.742124542124542,0.993939393939394,0.5482323232323232
B_StrictDysarthricALSvsHC,Full_214_LASSO,classical_only,15,0.8992673992673993,0.08849070442357368,0.9348905201079114,0.058509693350600474,0.9022610722610723,0.973939393939394,0.9329797979797979
B_StrictDysarthricALSvsHC,Full_214_LASSO,hybrid,15,0.8897435897435898,0.07535022015665038,0.9279561882307877,0.050672025669000205,0.9014840714840715,0.9612121212121212,0.9265151515151515
B_StrictDysarthricALSvsHC,Full_214_LASSO,ensemble_avg,15,0.8556776556776557,0.06535811590054827,0.9107942781855825,0.03936794555755923,0.842957042957043,0.9933333333333334,0.9204040404040404
B_StrictDysarthricALSvsHC,Full_214_LASSO,quantum_only,15,0.7205128205128205,0.05618179046858007,0.8356539306104523,0.03888613314843387,0.7367632367632367,0.9690909090909091,0.5545454545454546
